,RR,NE,MT,MP,MG,MC
577,534952,359799,504187,535499,507334,393161
578,536828,356609,514170,452704,508744,402627
579,538038,356437,516900,531797,508819,392855
580,539234,356525,516998,590077,515439,403615
581,533740,356358,506839,589392,503178,392743
582,608773,405846,598958,500850,549447,433698
583,603558,409933,608156,549386,620842,427595
584,606467,409343,591528,520126,616403,433038
585,605455,410329,590782,584160,614825,428492
586,600388,406292,596051,543895,619751,424603
587,610187,410538,587709,384123,614310,430330
588,601656,434069,577627,437280,610620,429989
589,611119,435540,590955,437280,645619,438427
590,612331,436606,588081,584160,636151,418396
591,592372,442934,585584,597156,530180,432963
592,599862,433087,582766,567202,535520,435481
593,587861,435933,596426,558943,530834,419951
594,618791,450784,637914,460460,548077,441218
595,629035,448496,634948,530506,545519,450422
596,633467,441574,628007,596879,541930,450059
597,621918,448068,626922,652660,537576,454101
598,635406,448266,630474,296509,530029,442170
599,637246,448719,628093,300480,544177,451508
600,658701,460231,664114,471256,550684,460425
601,658082,453748,657700,598404,546935,466490
602,659516,461262,668513,741120,548449,476541
603,672974,464107,668832,572062,545185,477560
604,672529,458056,679480,513207,551653,468178
605,659478,460765,662237,496545,546032,472050
606,660722,438376,681669,497042,550248,472874
607,662322,441376,676202,407744,552990,480222
608,666703,443681,676631,492670,542730,468111
609,659077,435860,673268,624870,545812,469259
610,658607,439831,662325,710297,550920,474518
611,662005,436288,663112,542051,549501,477592
612,689588,451584,697650,617105,557179,482994
613,690253,443642,687904,416752,593103,475723
614,690279,447278,695990,349228,588352,485300
615,684051,456390,710017,511420,590180,490170
616,679544,447720,693349,657386,587984,478878
617,682306,455765,702101,649070,582079,482530
618,675346,423275,690595,522979,590109,482290
619,672163,424819,687948,403749,623412,478357
620,685451,423557,687966,432397,630706,482457
621,672562,417012,680890,524643,626085,486901
622,684867,423496,694784,647757,627197,485405
623,668800,425133,686643,650915,627647,469511
624,648397,412132,636149,437280,612722,451370
625,643813,412635,650860,487746,631052,467237
626,643765,409431,629581,603872,608062,471061
627,634701,415614,640008,718325,538158,466331
628,643832,414920,631643,308405,538486,465423
629,632258,405875,630848,302875,543595,465149
630,637636,435479,640990,464004,535044,462016
631,632042,437176,633122,596454,529314,463356
632,634750,433156,644735,741120,527611,464780
633,631912,432741,639677,547409,525346,469334
634,629917,430360,631967,584160,529259,463256
635,627937,435571,637599,521589,528156,466163
636,653819,445397,659078,579381,530290,488177
637,660645,448880,662696,584160,524918,473548
638,638806,450888,671311,396569,526806,467534
639,659918,452840,667827,379550,528938,487877
640,670266,452881,667588,482270,474080,479717
641,653222,448147,658742,603656,467538,478774
642,681723,466309,682267,741120,470737,478908
643,673858,467942,687608,535450,476456,484685
644,675399,470259,676203,587274,475066,486894
645,677532,467967,676132,460286,472792,480072
646,678699,461743,676969,312689,476114,489719
647,677789,460940,688953,584160,472932,482834
648,702367,474831,733406,672550,484156,500212
649,701334,471488,741120,609880,486814,502656
650,707605,471428,741120,674823,489387,506591
651,711072,469586,741120,397631,488513,511661
652,711317,470014,731104,355389,483809,503746
653,712870,476892,741120,525401,483644,505485
654,725650,490885,741120,638342,491933,517496
655,717749,482079,741120,697825,513801,517730
656,723089,484846,741120,390199,511825,501696
657,720698,494232,741120,323813,517030,511793
658,715639,481095,741120,504925,510151,506951
659,713306,489714,741120,632895,511134,509036
660,691766,462543,741120,685091,498262,485292
661,685707,457161,741120,414192,547836,486710
662,690295,457594,712164,349760,555406,492442
663,682765,454931,683932,467158,549249,476550
664,686141,461351,678793,596503,554756,489533
665,675955,461420,682441,741120,558997,482931
666,639960,417745,629171,637715,530339,481353
667,635654,416268,617110,568959,606124,473730
668,646023,421041,623714,548712,613959,472106
669,645411,414502,639562,464329,599561,470196
670,643798,424059,636996,391279,608567,459353
671,642730,418884,622337,513208,605640,454262
672,673791,408131,680859,706848,606953,471641
673,668429,408369,673291,677789,599906,464818
674,666289,400229,681752,528810,603087,468731
675,669417,407608,670956,579267,556557,477322
676,664479,404395,672485,615550,533777,477274
677,667722,409023,684617,619780,529947,473924
678,658382,427908,654115,511688,518723,468408
679,660069,423531,644449,365256,501664,461587
680,658127,426070,650737,437280,510333,454516
681,661689,428262,648937,484105,505798,471516
682,658480,430252,656154,612097,503564,457305
683,658583,428517,661557,665700,503051,456265
684,595233,456794,541410,447768,474044,421266
685,594422,457689,545489,484758,460449,414506
686,564987,451517,554908,458044,463640,413925
687,561978,453322,545947,601379,461244,413547
688,567100,455063,547219,552794,470099,401550
689,559090,461759,536719,453837,462152,407112
690,502119,437617,469398,584160,437443,382291
691,504570,440485,468065,516346,437968,378409
692,509721,445442,467635,437280,437631,374090
693,496127,440092,457178,560683,433538,374018
694,503747,440331,460705,584160,390481,379594
695,498816,440295,466887,454122,385173,372674
696,570682,454024,547842,578547,420148,417047
697,578447,455301,552853,584160,444485,423445
698,569327,448791,567046,556079,442800,413898
699,576978,454468,559068,579016,446433,426648
700,564538,452089,548178,584160,447683,415901
701,566696,456750,556093,464493,456637,416507
702,606883,488595,603597,449508,467572,440618
703,608096,485584,603806,584160,498550,447607
704,602995,488165,599773,597156,499680,436432
705,613884,484842,596050,573663,494607,450636
706,605126,483577,595532,494874,496016,434951
707,600339,486990,604213,447090,498265,442541
708,645224,501049,644599,584160,517227,463274
709,638156,494497,636364,614440,553719,464751
710,643786,499005,639860,451097,542339,466239
711,649259,495284,641249,300480,556269,464108
712,643157,494886,645538,440860,542808,466754
713,646056,495902,633791,584160,549280,459908
714,569292,410517,555463,722567,493181,412286
715,576295,414893,554362,593459,545735,419781
716,576034,412480,551480,519209,548769,420447
717,575948,412015,555623,437280,547098,430273
718,574716,414579,558909,584160,539738,411982
719,560850,413103,544912,633203,539958,420081
720,522817,349451,527530,584926,530999,405444
721,530439,346906,519727,548243,559090,405886
722,519430,349197,520415,478090,552052,414677
723,521697,349040,524099,539559,552976,415157
