,RR,NE,MT,MP,MG,MC
648,262197.542,220923.925,267041.922,255283.125,213160.477,222936.998
649,262070.95299999998,220389.832,267600.0,243170.166,214063.116,223393.197
650,262916.348,220376.19,267600.0,255709.313,214565.592,224152.592
651,263480.985,219975.59,267600.0,201909.885,214186.42799999999,225100.562
652,263522.345,219920.92700000003,266837.957,191429.647,213432.96600000001,223386.198
653,263682.444,221190.164,267600.0,226882.688,213530.754,223742.72
654,265661.691,223712.276,267600.0,248869.125,215650.035,226098.26200000002
655,264361.35,222265.93600000002,267600.0,260190.68,221298.168,226380.41700000002
656,265418.79600000003,222434.164,267600.0,200106.304,219927.164,223197.818
657,264980.054,224726.44400000002,267600.0,180024.49599999998,221539.614,224961.15799999997
658,264212.564,222200.10499999998,267600.0,223043.438,219941.295,224149.69700000001
659,263712.71,223884.73200000002,267600.0,247847.813,220772.456,224537.793
660,260327.695,218639.607,267600.0,257886.01,216999.59,219784.43399999998
661,259121.209,217334.15399999998,267600.0,204028.339,232108.698,220167.65899999999
662,260206.804,217858.179,263473.087,189409.715,233336.37300000002,221345.242
663,258953.766,216955.991,258394.14,214956.579,231923.828,218615.56900000002
664,259286.23299999998,218535.266,257562.13400000002,240326.70500000002,233198.86700000003,220907.347
665,257604.562,218486.99099999998,258220.18500000003,267600.0,233881.994,219778.434
666,251677.738,210207.91,249298.24800000002,248751.563,228261.897,219416.30299999999
667,251193.53000000003,209982.973,247041.391,235150.162,242502.148,218121.669
668,252890.088,210788.835,248054.0,231534.75400000002,243972.996,217711.13700000002
669,252658.12500000003,209607.919,250705.786,214277.064,241204.767,217016.591
670,252513.99899999998,211360.229,250515.00400000002,199154.813,243122.174,215048.762
671,252366.653,210611.47400000002,247907.84200000003,224596.5,242396.22100000002,214307.569
672,257453.91199999998,208121.43,257936.288,261731.63,242725.72100000002,217502.323
673,256571.794,207878.23200000002,256927.12300000002,256265.438,241211.85799999998,216190.47100000002
674,256108.418,206415.83800000002,258118.048,227521.875,241795.595,216913.24899999998
675,256680.88600000003,208012.564,256355.863,236782.44400000002,233529.849,218409.78100000002
676,255854.33899999998,207299.785,256761.555,244602.051,229360.943,218604.818
677,256453.778,208259.107,258641.101,245399.501,228557.345,218012.862
678,255005.44,212056.45799999998,253664.165,224311.5,226394.353,217064.79700000002
679,255280.09100000001,211378.265,251573.15,194275.5,222964.77000000002,215579.30799999996
680,254917.735,211765.336,253061.385,207780.0,224654.497,214196.622
681,255421.06,212241.077,252517.744,219027.182,223867.473,217577.844
682,255032.445,212230.314,253889.286,243713.282,223404.07,214977.798
683,255056.64200000002,212189.855,254679.318,253998.75,223317.68399999998,214563.02
684,244419.59,217168.653,234276.65600000002,210299.177,217669.879,207794.07499999998
685,244344.724,217422.607,234897.794,219184.03,214947.12999999998,206615.37699999998
686,238625.136,215930.429,236106.188,212767.432,215574.794,206573.876
687,237955.252,216324.385,234944.91999999998,241433.941,215151.94400000002,206478.864
688,239233.50900000002,216738.50400000002,235067.179,232263.794,216881.816,203862.887
689,237679.567,218164.559,233204.658,211756.927,215308.915,205240.302
690,227433.383,213508.80699999997,221456.814,237540.0,210515.36,200196.55000000002
691,227816.45599999998,213997.83899999998,221051.72199999998,225184.875,210566.688,199354.649
692,228597.269,215116.40099999998,220981.95299999998,207780.0,210568.157,198649.886
693,226352.959,214130.133,219276.821,233669.563,209693.906,198668.787
